Accession,Species,Genus,Family,Length,Country
MN090782,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9033,Germany
MN090776,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9044,Germany
MN090907,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8604,Germany
MN090880,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9017,Germany
MK904809,Enterovirus A,Enterovirus,Picornaviridae,7414,China
MN401238,Orthohepevirus A,Orthohepevirus,Hepeviridae,7138,France
MG207963,Enterovirus A,Enterovirus,Picornaviridae,7406,China
KM374043,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1497,China
EF467821,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1775,Puerto Rico
FJ185230,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8866,Viet Nam
GU815578,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
GU815564,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
MK458178,Human immunodeficiency virus 1,Lentivirus,Retroviridae,7341,Botswana
MK935343,Chikungunya virus,Alphavirus,Togaviridae,11434,Republic of the Congo
GU815568,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
MN240496,Enterovirus D,Enterovirus,Picornaviridae,7345,USA
MN246021,Enterovirus D,Enterovirus,Picornaviridae,7324,USA
MN246017,Enterovirus D,Enterovirus,Picornaviridae,7324,USA
MN246009,Enterovirus D,Enterovirus,Picornaviridae,7324,USA
MK513915,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,6368,China
MN135851,Human polyomavirus 1,Betapolyomavirus,Polyomaviridae,5141,United Kingdom
MN245996,Enterovirus D,Enterovirus,Picornaviridae,7324,USA
MN246020,Enterovirus D,Enterovirus,Picornaviridae,7324,USA
MN246015,Enterovirus D,Enterovirus,Picornaviridae,7332,USA
LC064368,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Viet Nam
MK513933,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,6368,China
MN259108,Enterovirus D,Enterovirus,Picornaviridae,7317,USA
MN259113,Enterovirus D,Enterovirus,Picornaviridae,7321,USA
MK513931,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
MN259107,Enterovirus D,Enterovirus,Picornaviridae,7314,USA
MK513910,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
MK513905,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,3378,China
MN147875,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1745,China
JQ964684,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1469,Canada
GU815686,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
GU815688,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
GU177863,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9718,China
KJ907473,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1025,Thailand
GU815779,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
MF580913,Rotavirus A,Rotavirus,Reoviridae,1566,China
GU815780,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
KJ942647,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2338,Puerto Rico
GU815778,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
MH356245,Measles morbillivirus,Morbillivirus,Paramyxoviridae,15894,India
LC480521,Human polyomavirus 8,Alphapolyomavirus,Polyomaviridae,5232,Japan
KJ942640,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1752,Puerto Rico
JN588882,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,825,Cambodia
KF938575,Human mastadenovirus B,Mastadenovirus,Adenoviridae,35376,Germany
JN588828,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,959,Cambodia
MK174992,Human mastadenovirus D,Mastadenovirus,Adenoviridae,35202,Canada
MK234885,Pegivirus C,Pegivirus,Flaviviridae,9370,Egypt
HQ325785,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2274,Australia
MK618437,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Russia
KP718929,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8995,Cameroon
KY348530,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2233,China
EU781768,Hepacivirus C,Hepacivirus,Flaviviridae,9316,USA
EU781769,Hepacivirus C,Hepacivirus,Flaviviridae,9319,USA
MH351677,Human polyomavirus 8,Alphapolyomavirus,Polyomaviridae,5232,United Kingdom
KJ643495,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15184,USA
KJ643497,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15197,USA
KJ549803,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2151,China
KJ643507,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15128,USA
KJ643498,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15158,USA
NC_000898,Human betaherpesvirus 6B,Roseolovirus,Herpesviridae,162114,Zaire
HQ738301,Enterovirus C,Enterovirus,Picornaviridae,7397,Madagascar
HQ738303,Enterovirus C,Enterovirus,Picornaviridae,7407,Madagascar
NC_001405,Human mastadenovirus C,Mastadenovirus,Adenoviridae,35937,
NC_001722,Human immunodeficiency virus 2,Lentivirus,Retroviridae,10359,
MK618420,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Russia
NC_001454,Human mastadenovirus F,Mastadenovirus,Adenoviridae,34214,
NC_001802,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9181,
KJ643505,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15162,USA
KJ643508,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15185,USA
NC_001918,Aichivirus A,Kobuvirus,Picornaviridae,8251,
KF726040,Rotavirus A,Rotavirus,Reoviridae,1059,China
NC_038346,Torque teno mini virus 11,Betatorquevirus,Anelloviridae,2871,France
NC_038436,Pegivirus H,Pegivirus,Flaviviridae,9538,USA
NC_038415,Human associated cyclovirus 5,Cyclovirus,Circoviridae,1780,Pakistan
NC_038418,Human associated cyclovirus 11,Cyclovirus,Circoviridae,1710,Sri Lanka
NC_038361,Torque teno midi virus 14,Gammatorquevirus,Anelloviridae,3223,Japan
NC_034506,Guaroa orthobunyavirus,Orthobunyavirus,Peribunyaviridae,4486,Brazil
NC_038525,Mupapillomavirus 3,Mupapillomavirus,Papillomaviridae,7227,Slovenia
NC_038414,Human associated cyclovirus 4,Cyclovirus,Circoviridae,1867,Tunisia
KP177965,Hepatovirus A,Hepatovirus,Picornaviridae,7494,China
NC_038358,Torque teno midi virus 11,Gammatorquevirus,Anelloviridae,3198,Japan
NC_038351,Torque teno midi virus 4,Gammatorquevirus,Anelloviridae,2454,France
NC_038353,Torque teno midi virus 6,Gammatorquevirus,Anelloviridae,3198,Japan
MH580639,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Cameroon
NC_038350,Torque teno midi virus 3,Gammatorquevirus,Anelloviridae,2002,France
NC_014068,Torque teno mini virus 8,Betatorquevirus,Anelloviridae,2910,France
KR014041,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,2530,China
NC_014469,Gammapapillomavirus 12,Gammapapillomavirus,Papillomaviridae,7181,USA
NC_014185,Gammapapillomavirus 10,Gammapapillomavirus,Papillomaviridae,7342,
NC_014089,Torque teno mini virus 5,Betatorquevirus,Anelloviridae,2908,
KR013913,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3105,China
KR013897,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3213,China
NC_012777,Lujo mammarenavirus,Mammarenavirus,Arenaviridae,7163,South Africa
KR013799,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KR013793,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
NC_014361,Human polyomavirus 8,Alphapolyomavirus,Polyomaviridae,5232,Netherlands
NC_007382,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1410,Korea
NC_007369,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1566,USA
NC_007605,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,
HQ738297,Enterovirus C,Enterovirus,Picornaviridae,7397,Madagascar
HQ738286,Enterovirus C,Enterovirus,Picornaviridae,7445,Madagascar
NC_006273,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,235646,United Kingdom
NC_007371,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2233,USA
NC_007372,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2341,USA
KJ942743,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2330,Puerto Rico
NC_039063,Human associated huchismacovirus 3,Huchismacovirus,Smacoviridae,2459,France
NC_039192,Punta Toro phlebovirus,Phlebovirus,Phenuiviridae,6407,Panama
MH607142,Akhmeta virus,Orthopoxvirus,Poxviridae,221917,Georgia
KJ684070,Human bocavirus,Bocaparvovirus,Parvoviridae,5298,China
NC_038497,Human associated gemykibivirus 4,Gemykibivirus,Genomoviridae,2202,China
NC_038914,Gammapapillomavirus 25,Gammapapillomavirus,Papillomaviridae,7324,Slovenia
NC_038728,Catu orthobunyavirus,Orthobunyavirus,Peribunyaviridae,6797,Brazil
NC_039025,Eastern chimpanzee simian foamy virus,Simiispumavirus,Retroviridae,11954,
MF033247,Dengue virus,Flavivirus,Flaviviridae,10735,Singapore
MF033261,Dengue virus,Flavivirus,Flaviviridae,10714,Singapore
MF033250,Dengue virus,Flavivirus,Flaviviridae,10681,Singapore
MF033257,Dengue virus,Flavivirus,Flaviviridae,10735,Singapore
MF033246,Dengue virus,Flavivirus,Flaviviridae,10735,Singapore
MF033254,Dengue virus,Flavivirus,Flaviviridae,10690,Singapore
EU781781,Hepacivirus C,Hepacivirus,Flaviviridae,9307,USA
MF488702,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,India
EU781780,Hepacivirus C,Hepacivirus,Flaviviridae,9326,USA
MF033240,Dengue virus,Flavivirus,Flaviviridae,10735,Singapore
MF033238,Dengue virus,Flavivirus,Flaviviridae,10714,Singapore
MF033241,Dengue virus,Flavivirus,Flaviviridae,10686,Singapore
MF033251,Dengue virus,Flavivirus,Flaviviridae,10714,Singapore
MF033252,Dengue virus,Flavivirus,Flaviviridae,10714,Singapore
EU781755,Hepacivirus C,Hepacivirus,Flaviviridae,9331,USA
EU781797,Hepacivirus C,Hepacivirus,Flaviviridae,9297,USA
EU781751,Hepacivirus C,Hepacivirus,Flaviviridae,9336,USA
EU781752,Hepacivirus C,Hepacivirus,Flaviviridae,9326,USA
EU781796,Hepacivirus C,Hepacivirus,Flaviviridae,9315,USA
EU781748,Hepacivirus C,Hepacivirus,Flaviviridae,9369,USA
EU781761,Hepacivirus C,Hepacivirus,Flaviviridae,9318,USA
EU781762,Hepacivirus C,Hepacivirus,Flaviviridae,9318,USA
KT749825,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Belgium
NC_039191,Punta Toro phlebovirus,Phlebovirus,Phenuiviridae,4348,Panama
MH110603,Dengue virus,Flavivirus,Flaviviridae,10176,China
MH110597,Dengue virus,Flavivirus,Flaviviridae,10176,China
MH110591,Dengue virus,Flavivirus,Flaviviridae,10176,China
MG560144,Dengue virus,Flavivirus,Flaviviridae,10670,India
MH444798,Yellow fever virus,Flavivirus,Flaviviridae,10851,Senegal
MG711732,Hepatitis delta virus,Deltavirus,,1674,Cameroon
MG711682,Hepatitis delta virus,Deltavirus,,1672,Cameroon
NC_038727,Catu orthobunyavirus,Orthobunyavirus,Peribunyaviridae,4420,Brazil
NC_038417,Human associated cyclovirus 7,Cyclovirus,Circoviridae,1795,Nigeria
MG869604,Human papillomavirus,,Papillomaviridae,7291,Denmark
MH704724,Rotavirus A,Rotavirus,Reoviridae,2354,Indonesia
MG826148,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
MK089787,Enterovirus C,Enterovirus,Picornaviridae,7364,China
MH704718,Rotavirus A,Rotavirus,Reoviridae,3302,Indonesia
MN018303,Dengue virus,Flavivirus,Flaviviridae,10735,China
MH110566,Dengue virus,Flavivirus,Flaviviridae,10176,China
MG826144,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
MG999578,Mammalian orthoreovirus,Orthoreovirus,Reoviridae,3901,Slovenia
MG912606,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30123,Saudi Arabia
DQ295194,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9380,South Korea
MH010199,Enterovirus A,Enterovirus,Picornaviridae,7380,China
MH010206,Enterovirus A,Enterovirus,Picornaviridae,7306,China
MH157202,Zika virus,Flavivirus,Flaviviridae,10660,Mexico
LC051141,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Japan
KY348534,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1027,China
KY490085,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,235632,Germany
KF660602,Hepatitis delta virus,Deltavirus,,1671,Viet Nam
KY490064,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,234791,Czech Republic
MF001055,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15172,USA
KX078488,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,983,India
KX078510,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1497,India
MG717925,Hepacivirus C,Hepacivirus,Flaviviridae,9372,
GU168597,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3183,China
MG021308,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171693,Poland
MG021310,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171685,Poland
KX172133,Orthohepevirus A,Orthohepevirus,Hepeviridae,7237,Germany
MG450666,Enterovirus A,Enterovirus,Picornaviridae,7411,China
MF314189,Dengue virus,Flavivirus,Flaviviridae,10594,Singapore
JQ867463,Central cimpanzee simian foamy virus,Simiispumavirus,Retroviridae,13220,Cameroon
MH171339,Rotavirus A,Rotavirus,Reoviridae,2591,Spain
NC_038352,Torque teno midi virus 5,Gammatorquevirus,Anelloviridae,3208,Japan
KY486271,Norwalk virus,Norovirus,Caliciviridae,7551,USA
MH359230,Madariaga virus,Alphavirus,Togaviridae,11546,Haiti
MH212193,Human polyomavirus 4,Betapolyomavirus,Polyomaviridae,5227,Hungary
MG711746,Hepatitis delta virus,Deltavirus,,1676,Cameroon
MH179063,Pegivirus A,Pegivirus,Flaviviridae,9017,Canada
MK007332,Zaire ebolavirus,Ebolavirus,Filoviridae,18921,Democratic Republic of the Congo
MH685717,Human respirovirus 1,Respirovirus,Paramyxoviridae,15503,Uganda
MH049745,Enterovirus A,Enterovirus,Picornaviridae,7441,China
MH049748,Enterovirus A,Enterovirus,Picornaviridae,7450,China
KT965725,Enterovirus B,Enterovirus,Picornaviridae,7392,China
KY965077,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
KY965121,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,6368,China
KY965114,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,6368,China
KY965100,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,3378,China
MN018308,Dengue virus,Flavivirus,Flaviviridae,10735,China
MN018307,Dengue virus,Flavivirus,Flaviviridae,10735,China
MN018309,Dengue virus,Flavivirus,Flaviviridae,10735,China
MN018346,Dengue virus,Flavivirus,Flaviviridae,10724,China
MN018380,Dengue virus,Flavivirus,Flaviviridae,10708,China
MN018328,Dengue virus,Flavivirus,Flaviviridae,10735,China
MN018345,Dengue virus,Flavivirus,Flaviviridae,10724,China
MN018315,Dengue virus,Flavivirus,Flaviviridae,10735,China
MN018294,Dengue virus,Flavivirus,Flaviviridae,10735,China
MN018295,Dengue virus,Flavivirus,Flaviviridae,10735,China
MN018389,Dengue virus,Flavivirus,Flaviviridae,10708,China
MH043135,Enterovirus B,Enterovirus,Picornaviridae,7444,Finland
JN257173,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3164,Syria
EF587278,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1566,
MN402883,Chikungunya virus,Alphavirus,Togaviridae,11793,China
MK370033,Chikungunya virus,Alphavirus,Togaviridae,11812,India
MG813994,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15218,USA
EU703760,Chikungunya virus,Alphavirus,Togaviridae,12028,Malaysia
KU756891,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,1749,Netherlands
KX255358,Enterovirus D,Enterovirus,Picornaviridae,7291,USA
KX255408,Enterovirus D,Enterovirus,Picornaviridae,7284,USA
KJ943039,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2205,Chile
KJ943111,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1440,Chile
JF965354,Influenza B virus,Betainfluenzavirus,Orthomyxoviridae,1772,India
KC857700,Human mastadenovirus B,Mastadenovirus,Adenoviridae,35240,China
KF302429,Human mastadenovirus D,Mastadenovirus,Adenoviridae,35036,China
KC692508,Dengue virus,Flavivirus,Flaviviridae,10735,Argentina
AB937792,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Japan
AB937795,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Japan
KC692496,Dengue virus,Flavivirus,Flaviviridae,10735,Argentina
KC692497,Dengue virus,Flavivirus,Flaviviridae,10735,Argentina
GU198371,Enterovirus A,Enterovirus,Picornaviridae,7347,China
KF826840,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15106,Mexico
KF530250,Human respirovirus 3,Respirovirus,Paramyxoviridae,15405,Mexico
KM279582,Dengue virus,Flavivirus,Flaviviridae,10723,Singapore
JQ316127,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9618,
JQ431282,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1497,France
JQ431247,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,982,France
JQ431215,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,France
JQ431204,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,France
JQ431197,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,France
JX625134,Human mastadenovirus B,Mastadenovirus,Adenoviridae,35232,China
JX504542,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
JX504538,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
JX504531,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3212,China
JQ431333,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,838,France
JQ431201,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,France
JQ004099,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7881,Thailand
JF754618,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Turkey
AY446894,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,235646,United Kingdom
JX976770,Enterovirus B,Enterovirus,Picornaviridae,7402,China
JX976771,Enterovirus B,Enterovirus,Picornaviridae,7395,China
KC248198,Hepacivirus C,Hepacivirus,Flaviviridae,9421,Cameroon
KC737850,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,11925,USA
KM233062,Zaire ebolavirus,Ebolavirus,Filoviridae,18937,Sierra Leone
JN588924,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2333,Cambodia
KM233037,Zaire ebolavirus,Ebolavirus,Filoviridae,18915,Sierra Leone
MN053433,Enterovirus A,Enterovirus,Picornaviridae,7412,Malaysia
MN053434,Enterovirus A,Enterovirus,Picornaviridae,7412,Malaysia
JN588923,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2335,Cambodia
MN053432,Enterovirus A,Enterovirus,Picornaviridae,7395,Malaysia
MN053435,Enterovirus A,Enterovirus,Picornaviridae,7412,Malaysia
HM750140,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KX064290,Enterovirus A,Enterovirus,Picornaviridae,7435,China
KT366500,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,India
KJ943019,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,999,Chile
KJ196278,Norwalk virus,Norovirus,Caliciviridae,7529,Japan
KJ196281,Norwalk virus,Norovirus,Caliciviridae,7559,Japan
EU256001,Hepacivirus C,Hepacivirus,Flaviviridae,9342,USA
EU255960,Hepacivirus C,Hepacivirus,Flaviviridae,9329,Switzerland
EU155382,Hepacivirus C,Hepacivirus,Flaviviridae,9333,Germany
EU155367,Hepacivirus C,Hepacivirus,Flaviviridae,9329,Switzerland
EU256017,Hepacivirus C,Hepacivirus,Flaviviridae,9300,USA
KM192299,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,234769,
EU255928,Hepacivirus C,Hepacivirus,Flaviviridae,9309,Switzerland
KC519323,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,234810,Belgium
MH678692,Human respirovirus 3,Respirovirus,Paramyxoviridae,15409,United Kingdom
KJ672466,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15173,USA
KJ734741,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
KJ734747,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
KF600651,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30105,Saudi Arabia
KF600628,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30104,Saudi Arabia
KF186567,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30117,Saudi Arabia
KF186566,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30113,Saudi Arabia
KF973335,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15092,USA
KF973324,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15142,USA
KF973334,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15201,USA
KF973332,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15090,USA
KF682362,Enterovirus A,Enterovirus,Picornaviridae,7434,China
GU568096,Rhinovirus B,Enterovirus,Picornaviridae,7224,China
MH171361,Rotavirus A,Rotavirus,Reoviridae,2339,Spain
KJ173432,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
EU781763,Hepacivirus C,Hepacivirus,Flaviviridae,9324,USA
EU256088,Hepacivirus C,Hepacivirus,Flaviviridae,9329,USA
EU256078,Hepacivirus C,Hepacivirus,Flaviviridae,9332,Switzerland
EU256041,Hepacivirus C,Hepacivirus,Flaviviridae,9309,USA
EU155215,Hepacivirus C,Hepacivirus,Flaviviridae,9387,USA
KJ682813,Crimean-Congo hemorrhagic fever orthonairovirus,Orthonairovirus,Nairoviridae,5364,South Africa
KJ682795,Crimean-Congo hemorrhagic fever orthonairovirus,Orthonairovirus,Nairoviridae,12159,South Africa
MN400355,Norwalk virus,Norovirus,Caliciviridae,7556,Hong Kong
MN749150,Rhinovirus A,Enterovirus,Picornaviridae,7084,USA
LC516609,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3212,Japan
KR733228,Influenza B virus,Betainfluenzavirus,Orthomyxoviridae,1557,Taiwan
KJ686141,Enterovirus A,Enterovirus,Picornaviridae,7360,Viet Nam
KJ685413,Norwalk virus,Norovirus,Caliciviridae,7509,Bangladesh
KJ685405,Norwalk virus,Norovirus,Caliciviridae,7509,Bangladesh
MN712203,Hepacivirus C,Hepacivirus,Flaviviridae,9678,
LC461174,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Japan
MN749159,Enterovirus B,Enterovirus,Picornaviridae,7411,USA
LC155815,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Japan
MF565975,Human immunodeficiency virus 1,Lentivirus,Retroviridae,2580,Rwanda
MF565999,Human immunodeficiency virus 1,Lentivirus,Retroviridae,2583,Rwanda
MF674421,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Viet Nam
MF674498,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Viet Nam
MF566030,Human immunodeficiency virus 1,Lentivirus,Retroviridae,2607,Rwanda
MK598646,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Russia
MF565973,Human immunodeficiency virus 1,Lentivirus,Retroviridae,2580,Rwanda
MF565985,Human immunodeficiency virus 1,Lentivirus,Retroviridae,2583,Rwanda
MH330379,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8931,Russia
KX857463,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,318,Brazil
MH777166,Human papillomavirus,,Papillomaviridae,7209,USA
